Name,Frequency,Gender
Leia,2096,f
Carleigh,2093,f
Alannah,2090,f
Rayne,2089,f
Averi,2087,f
Yessenia,2081,f
Rory,2078,f
Keeley,2069,f
Emelia,2068,f
Marian,2063,f
Giuliana,2060,f
Shiloh,2059,f
Janie,2053,f
Bonnie,2049,f
Astrid,2047,f
Caitlynn,2046,f
Addie,2045,f
Bree,2041,f
Lourdes,2039,f
Rhea,2037,f
Winter,2036,f
Adison,2034,f
Brook,2034,f
Trisha,2033,f
Kristine,2032,f
Yvonne,2030,f
Yaretzi,2025,f
Dallas,2023,f
Eryn,2023,f
Breonna,2022,f
Tayla,2016,f
Juana,2012,f
Ariella,2006,f
Katerina,2002,f
Malaysia,2002,f
Priscila,1999,f
Nylah,1998,f
Kyndall,1997,f
Shawna,1995,f
Kori,1993,f
Anabella,1990,f
Aliana,1988,f
Sheyla,1981,f
Milagros,1979,f
Norma,1976,f
Lidia,1973,f
Tristan,1973,f
Amalia,1970,f
Karma,1970,f
Katia,1969,f
Malaya,1969,f
Bryn,1965,f
Reece,1964,f
Kayleen,1961,f
Adamaris,1959,f
Gabriel,1958,f
Jolene,1958,f
Emani,1949,f
Karsyn,1944,f
Darby,1943,f
Juanita,1943,f
Reanna,1942,f
Milan,1935,f
Rianna,1935,f
Keara,1934,f
Melisa,1933,f
Brionna,1931,f
Jeanette,1930,f
Marcella,1928,f
Nadine,1922,f
Audra,1920,f
Abrianna,1918,f
Lillianna,1918,f
Maegan,1915,f
Diya,1914,f
Isla,1914,f
Chyna,1913,f
Evie,1911,f
Kaela,1909,f
Sade,1906,f
Elianna,1905,f
Joseline,1900,f
Kaycee,1899,f
Alaysia,1895,f
Alyvia,1893,f
Jordin,1890,f
Neha,1890,f
Lori,1871,f
Anisa,1870,f
Izabelle,1868,f
Lisbeth,1867,f
Noel,1866,f
Rivka,1866,f
Harlee,1862,f
Rosalinda,1861,f
Constance,1859,f
Alycia,1855,f
Ivana,1849,f
Emmy,1840,f
Raelynn,1840,f
Brinley,1838,f
Rileigh,1837,f
Marely,1836,f
Grecia,1833,f
Emerald,1831,f
June,1830,f
Tamya,1828,f
Coral,1825,f
Stevie,1821,f
Jaslene,1818,f
Leigha,1816,f
Giavanna,1813,f
Kendyl,1813,f
Aiyanna,1810,f
Danae,1810,f
Adilene,1806,f
Lanie,1804,f
Star,1799,f
Aja,1798,f
Yajaira,1798,f
Susanna,1797,f
Kari,1794,f
Betsy,1793,f
Zaniyah,1793,f
Raelyn,1790,f
Dixie,1787,f
Dina,1785,f
Adrian,1784,f
Laisha,1779,f
Randi,1779,f
Aya,1775,f
Demi,1775,f
Kristy,1774,f
Marcela,1771,f
Lisette,1770,f
Neveah,1770,f
Natali,1769,f
Jena,1767,f
Annamarie,1766,f
Samaria,1766,f
Annelise,1765,f
Blair,1765,f
Kai,1764,f
Kiya,1764,f
Gladys,1761,f
Martina,1760,f
Elana,1759,f
Lailah,1758,f
Sheridan,1753,f
Meaghan,1752,f
Ivette,1749,f
Kamya,1748,f
Azul,1743,f
Charlene,1740,f
Priya,1740,f
Chandler,1739,f
Citlaly,1739,f
Amiah,1738,f
Jamia,1736,f
Makiya,1733,f
Fallon,1727,f
Charley,1722,f
Jaedyn,1721,f
Stefanie,1721,f
Beverly,1719,f
Janaya,1718,f
Leann,1715,f
Lorelai,1714,f
Michele,1714,f
Chiara,1711,f
Eunice,1711,f
Arleth,1709,f
Sanai,1709,f
Brookelyn,1707,f
Kameron,1707,f
Mae,1707,f
Selene,1706,f
Alysia,1703,f
Jaci,1701,f
Elisha,1698,f
Kalia,1698,f
Yamileth,1698,f
Matilda,1697,f
Zainab,1696,f
Julisa,1694,f
Emalee,1692,f
Amia,1688,f
Annaliese,1688,f
Anneliese,1686,f
Analise,1679,f
Niya,1679,f
Delanie,1676,f
Kalli,1673,f
Kiarra,1673,f
Yasmeen,1672,f
Abbygail,1667,f
Aniah,1665,f
Alysha,1662,f
Beyonce,1662,f
Jamiya,1662,f
Tristen,1660,f
Colette,1658,f
Xochitl,1654,f
Daisha,1653,f
Shaniyah,1653,f
Ananya,1652,f
Kyndal,1650,f
Jesse,1647,f
Cailey,1646,f
Dayna,1646,f
Maiya,1644,f
Naima,1642,f
Shaina,1642,f
Yulissa,1641,f
Madysen,1639,f
Evelynn,1634,f
Brynlee,1633,f
Cielo,1628,f
Azariah,1626,f
Laniya,1624,f
Jaslyn,1623,f
Joanne,1618,f
Angeles,1617,f
Triniti,1616,f
Janya,1615,f
Aidan,1609,f
Aliah,1609,f
Rosalie,1609,f
Alaya,1607,f
Jacquelin,1607,f
Kamari,1604,f
Leanne,1604,f
Geneva,1598,f
Montserrat,1597,f
Vera,1597,f
Jacie,1596,f
Sloane,1596,f
Alyssia,1595,f
Analia,1593,f
Ayleen,1592,f
Karleigh,1592,f
Nelly,1592,f
Ember,1590,f
Ivanna,1589,f
Melia,1586,f
Maranda,1584,f
Kalie,1581,f
Cambria,1577,f
Soraya,1577,f
Izabel,1575,f
Maryann,1575,f
Jaeda,1573,f
Isha,1572,f
Kloe,1570,f
Zaniya,1568,f
Hadassah,1567,f
Dawn,1566,f
Jania,1565,f
Eloise,1563,f
Maxine,1563,f
Samya,1562,f
Starr,1561,f
Bayleigh,1560,f
Grayson,1559,f
Tammy,1558,f
Vivienne,1556,f
Olive,1555,f
Alora,1553,f
Millie,1553,f
Iman,1552,f
Jersey,1552,f
Estella,1551,f
Jayme,1550,f
Makaylah,1548,f
